"Name","Full Name","OID","Type","Access","Indexes","MIB Module","Description"
"uaxteEventsV2",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteEvents.uaxteEventsV2",".1.3.6.1.4.1.43768.3.1.1.3.1.0",,,"","GATESAIR-UAXTE-MIB",""
"uaxteOpModeEvent",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteEvents.uaxteEventsV2.uaxteOpModeEvent",".1.3.6.1.4.1.43768.3.1.1.3.1.0.1",,,"","GATESAIR-UAXTE-MIB","Generated when the transmitter on/off states changes"
"uaxteActiveEvent",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteEvents.uaxteEventsV2.uaxteActiveEvent",".1.3.6.1.4.1.43768.3.1.1.3.1.0.2",,,"","GATESAIR-UAXTE-MIB","Generated when the Transmitter is the Active/Not Active Transmitter. Used in dual drive configurations"
"uaxteStatusEvent",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteEvents.uaxteEventsV2.uaxteStatusEvent",".1.3.6.1.4.1.43768.3.1.1.3.1.0.3",,,"","GATESAIR-UAXTE-MIB","Generated when the transmitter's overall summary status changes"
"uaxteInputStatusPrimaryEvent",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteEvents.uaxteEventsV2.uaxteInputStatusPrimaryEvent",".1.3.6.1.4.1.43768.3.1.1.3.1.0.4",,,"","GATESAIR-UAXTE-MIB","Generated when the transmitter's primary input status changes"
"uaxteInputStatusSecondaryEvent",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteEvents.uaxteEventsV2.uaxteInputStatusSecondaryEvent",".1.3.6.1.4.1.43768.3.1.1.3.1.0.5",,,"","GATESAIR-UAXTE-MIB","Generated when the transmitter's secondary input status changes"
"uaxteInputSwitchCountCurrentEvent",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteEvents.uaxteEventsV2.uaxteInputSwitchCountCurrentEvent",".1.3.6.1.4.1.43768.3.1.1.3.1.0.6",,,"","GATESAIR-UAXTE-MIB","Generated when the transmitter's switches input sources"
"uaxteOutputForwardLowWarningEvent",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteEvents.uaxteEventsV2.uaxteOutputForwardLowWarningEvent",".1.3.6.1.4.1.43768.3.1.1.3.1.0.7",,,"","GATESAIR-UAXTE-MIB","Generated when the transmitter's output power is above/below forward low warning threshold"
"uaxteOutputForwardLowFaultEvent",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteEvents.uaxteEventsV2.uaxteOutputForwardLowFaultEvent",".1.3.6.1.4.1.43768.3.1.1.3.1.0.8",,,"","GATESAIR-UAXTE-MIB","Generated when the transmitter's output power is above/below forward low fault threshold"
"uaxteOutputForwardHighFaultEvent",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteEvents.uaxteEventsV2.uaxteOutputForwardHighFaultEvent",".1.3.6.1.4.1.43768.3.1.1.3.1.0.9",,,"","GATESAIR-UAXTE-MIB","Generated when the transmitter's output power is above/below forward high fault threshold"
"uaxteOutputMuteEvent",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteEvents.uaxteEventsV2.uaxteOutputMuteEvent",".1.3.6.1.4.1.43768.3.1.1.3.1.0.10",,,"","GATESAIR-UAXTE-MIB","Generated when the transmitter's is muted/unmuted"
"uaxteRtacLinearModeEvent",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteEvents.uaxteEventsV2.uaxteRtacLinearModeEvent",".1.3.6.1.4.1.43768.3.1.1.3.1.0.11",,,"","GATESAIR-UAXTE-MIB","Generated when the transmitter's RTAC Linear mode is changed adapt/bypass/stored/hold"
"uaxteRtacNonLinearModeEvent",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteEvents.uaxteEventsV2.uaxteRtacNonLinearModeEvent",".1.3.6.1.4.1.43768.3.1.1.3.1.0.12",,,"","GATESAIR-UAXTE-MIB","Generated when the transmitter's RTAC NonLinear mode is changed adapt/bypass/stored/hold"
"uaxteRtacDisabledEvent",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteEvents.uaxteEventsV2.uaxteRtacDisabledEvent",".1.3.6.1.4.1.43768.3.1.1.3.1.0.13",,,"","GATESAIR-UAXTE-MIB","Generated when the transmitter's RTAC mode is changed enabled/disabled"
"uaxtePwrSupplyControllerEvent",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteEvents.uaxteEventsV2.uaxtePwrSupplyControllerEvent",".1.3.6.1.4.1.43768.3.1.1.3.1.0.14",,,"","GATESAIR-UAXTE-MIB","Generated when the transmitter's power supply controller status changes"
"uaxtePwrSupplyPwrAmpEvent",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteEvents.uaxteEventsV2.uaxtePwrSupplyPwrAmpEvent",".1.3.6.1.4.1.43768.3.1.1.3.1.0.15",,,"","GATESAIR-UAXTE-MIB","Generated when the transmitter's power supply power amplifier status changes"
"uaxtePwrSupplyModulatorEvent",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteEvents.uaxteEventsV2.uaxtePwrSupplyModulatorEvent",".1.3.6.1.4.1.43768.3.1.1.3.1.0.16",,,"","GATESAIR-UAXTE-MIB","Generated when the transmitter's power supply modulator status changes"
"uaxteRtacPerfValidEvent",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteEvents.uaxteEventsV2.uaxteRtacPerfValidEvent",".1.3.6.1.4.1.43768.3.1.1.3.1.0.17",,,"","GATESAIR-UAXTE-MIB","Generated when the RTAC Performance Readings Valid changes"
"uaxteEventsV2PwrAmps",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteEvents.uaxteEventsV2PwrAmps",".1.3.6.1.4.1.43768.3.1.1.3.1.1",,,"","GATESAIR-UAXTE-MIB",""
"uaxteObjects",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects",".1.3.6.1.4.1.43768.3.1.1.3.2",,,"","GATESAIR-UAXTE-MIB",""
"uaxteMibRevision",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteMibRevision",".1.3.6.1.4.1.43768.3.1.1.3.2.1","OCTET STRING","read-only","","GATESAIR-UAXTE-MIB","The revision of this MIB supported by the agent queried. It matches one of the revisions listed in the MODULE-IDENTITY."
"uaxteVersion",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteVersion",".1.3.6.1.4.1.43768.3.1.1.3.2.2",,,"","GATESAIR-UAXTE-MIB",""
"uaxteVerSoftware",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteVersion.uaxteVerSoftware",".1.3.6.1.4.1.43768.3.1.1.3.2.2.1",,,"","GATESAIR-UAXTE-MIB",""
"uaxteVerSwPartNumber",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteVersion.uaxteVerSoftware.uaxteVerSwPartNumber",".1.3.6.1.4.1.43768.3.1.1.3.2.2.1.1","OCTET STRING","read-only","","GATESAIR-UAXTE-MIB","GatesAir software part number of this product."
"uaxteVerSwRev",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteVersion.uaxteVerSoftware.uaxteVerSwRev",".1.3.6.1.4.1.43768.3.1.1.3.2.2.1.2","OCTET STRING","read-only","","GATESAIR-UAXTE-MIB","Overall revision number of the software"
"uaxteVerSwUboot",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteVersion.uaxteVerSoftware.uaxteVerSwUboot",".1.3.6.1.4.1.43768.3.1.1.3.2.2.1.3","OCTET STRING","read-only","","GATESAIR-UAXTE-MIB","Revision number of the bootloader"
"uaxteVerSwWebboot",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteVersion.uaxteVerSoftware.uaxteVerSwWebboot",".1.3.6.1.4.1.43768.3.1.1.3.2.2.1.4","OCTET STRING","read-only","","GATESAIR-UAXTE-MIB","Revision number of the webboot application"
"uaxteVerSwXtmod",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteVersion.uaxteVerSoftware.uaxteVerSwXtmod",".1.3.6.1.4.1.43768.3.1.1.3.2.2.1.5","OCTET STRING","read-only","","GATESAIR-UAXTE-MIB","Revision number of the xtmod application"
"uaxteVerSwLinux",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteVersion.uaxteVerSoftware.uaxteVerSwLinux",".1.3.6.1.4.1.43768.3.1.1.3.2.2.1.6","OCTET STRING","read-only","","GATESAIR-UAXTE-MIB","Revision number of the linux kernel"
"uaxteVerSwDevTree",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteVersion.uaxteVerSoftware.uaxteVerSwDevTree",".1.3.6.1.4.1.43768.3.1.1.3.2.2.1.7","OCTET STRING","read-only","","GATESAIR-UAXTE-MIB","Revision number of the device tree that maps out hardware drivers"
"uaxteVerSwFpga1",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteVersion.uaxteVerSoftware.uaxteVerSwFpga1",".1.3.6.1.4.1.43768.3.1.1.3.2.2.1.8","OCTET STRING","read-only","","GATESAIR-UAXTE-MIB","Revision number of fpga1"
"uaxteVerSwFpga2",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteVersion.uaxteVerSoftware.uaxteVerSwFpga2",".1.3.6.1.4.1.43768.3.1.1.3.2.2.1.9","OCTET STRING","read-only","","GATESAIR-UAXTE-MIB","Revision number of fpga2, note not always used"
"uaxteVerSwCpld",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteVersion.uaxteVerSoftware.uaxteVerSwCpld",".1.3.6.1.4.1.43768.3.1.1.3.2.2.1.10","OCTET STRING","read-only","","GATESAIR-UAXTE-MIB","Revision number of the cpld"
"uaxteVerHardware",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteVersion.uaxteVerHardware",".1.3.6.1.4.1.43768.3.1.1.3.2.2.2",,,"","GATESAIR-UAXTE-MIB",""
"uaxteVerHwModulator",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteVersion.uaxteVerHardware.uaxteVerHwModulator",".1.3.6.1.4.1.43768.3.1.1.3.2.2.2.1","OCTET STRING","read-only","","GATESAIR-UAXTE-MIB","Hardware version,config,variant,type of the modulator"
"uaxteVerHwBackplane",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteVersion.uaxteVerHardware.uaxteVerHwBackplane",".1.3.6.1.4.1.43768.3.1.1.3.2.2.2.2","OCTET STRING","read-only","","GATESAIR-UAXTE-MIB","Hardware version of the backplane"
"uaxteVerHwPwrSupplyCtrl",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteVersion.uaxteVerHardware.uaxteVerHwPwrSupplyCtrl",".1.3.6.1.4.1.43768.3.1.1.3.2.2.2.3","OCTET STRING","read-only","","GATESAIR-UAXTE-MIB","Hardware version,config,variant,type of the power supply controller"
"uaxteVerHwPwrAmp",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteVersion.uaxteVerHardware.uaxteVerHwPwrAmp",".1.3.6.1.4.1.43768.3.1.1.3.2.2.2.4","OCTET STRING","read-only","","GATESAIR-UAXTE-MIB","Hardware version,config,variant,type of the power amplifier"
"uaxteGeneral",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteGeneral",".1.3.6.1.4.1.43768.3.1.1.3.2.3",,,"","GATESAIR-UAXTE-MIB",""
"uaxteOpMode",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteGeneral.uaxteOpMode",".1.3.6.1.4.1.43768.3.1.1.3.2.3.1","INTEGER","read-write","","GATESAIR-UAXTE-MIB","Operation mode of the Tranmitter, On/Off"
"uaxteActive",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteGeneral.uaxteActive",".1.3.6.1.4.1.43768.3.1.1.3.2.3.2","INTEGER","read-only","","GATESAIR-UAXTE-MIB","Status of the transmitter, Main/On Air or Standby/Off Air, used in dual drive configurations."
"uaxteStatus",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteGeneral.uaxteStatus",".1.3.6.1.4.1.43768.3.1.1.3.2.3.3","INTEGER","read-only","","GATESAIR-UAXTE-MIB","Overall status of the transmitter"
"uaxteStationName",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteGeneral.uaxteStationName",".1.3.6.1.4.1.43768.3.1.1.3.2.3.4","OCTET STRING","read-write","","GATESAIR-UAXTE-MIB","User defined name for the exciter. This field is limited to 12 characters."
"uaxteModelNumber",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteGeneral.uaxteModelNumber",".1.3.6.1.4.1.43768.3.1.1.3.2.3.5","OCTET STRING","read-only","","GATESAIR-UAXTE-MIB","User defined Model Number for the exciter. This field is limited to 14 characters."
"uaxteSerialNumber",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteGeneral.uaxteSerialNumber",".1.3.6.1.4.1.43768.3.1.1.3.2.3.6","OCTET STRING","read-only","","GATESAIR-UAXTE-MIB","Serial number of the exciter assembly"
"uaxteDateAndTime",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteDateAndTime",".1.3.6.1.4.1.43768.3.1.1.3.2.4",,,"","GATESAIR-UAXTE-MIB",""
"uaxteTimeOfDay",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteDateAndTime.uaxteTimeOfDay",".1.3.6.1.4.1.43768.3.1.1.3.2.4.1","OCTET STRING","read-write","","GATESAIR-UAXTE-MIB","The exciter's time of day. If NTP is enabled, a write to this element is acknowledged but ignored. The time of day is formatted in UTC time, e.g. YYYY-MM-DDThh:mm:ss.sTZD. sTZD =.04:59 - 4hrs 59min "
"uaxteUTCOffset",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteDateAndTime.uaxteUTCOffset",".1.3.6.1.4.1.43768.3.1.1.3.2.4.2","INTEGER32","read-write","","GATESAIR-UAXTE-MIB","The UTC offset for the exciter, plus or minus, in seconds."
"uaxteTimeSource",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteDateAndTime.uaxteTimeSource",".1.3.6.1.4.1.43768.3.1.1.3.2.4.3","INTEGER","read-write","","GATESAIR-UAXTE-MIB","The exciter time source."
"uaxteNTPServerName1",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteDateAndTime.uaxteNTPServerName1",".1.3.6.1.4.1.43768.3.1.1.3.2.4.4","OCTET STRING","read-write","","GATESAIR-UAXTE-MIB","IP Address or URL for the exciter's first NTP server source. The agent will attempt to decode a value written to this element as a valid unicast IP address first. If it fails, it will accept the string as an URL without validation."
"uaxteNTPServerName2",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteDateAndTime.uaxteNTPServerName2",".1.3.6.1.4.1.43768.3.1.1.3.2.4.5","OCTET STRING","read-write","","GATESAIR-UAXTE-MIB","IP Address or URL for the exciter's second NTP server source. The agent will attempt to decode a value written to this element as a valid unicast IP address first. If it fails, it will accept the string as an URL without validation."
"uaxteNTPServerName3",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteDateAndTime.uaxteNTPServerName3",".1.3.6.1.4.1.43768.3.1.1.3.2.4.6","OCTET STRING","read-write","","GATESAIR-UAXTE-MIB","IP Address or URL for the exciter's third NTP server source. The agent will attempt to decode a value written to this element as a valid unicast IP address first. If it fails, it will accept the string as an URL without validation."
"uaxteNTPServerName4",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteDateAndTime.uaxteNTPServerName4",".1.3.6.1.4.1.43768.3.1.1.3.2.4.7","OCTET STRING","read-write","","GATESAIR-UAXTE-MIB","IP Address or URL for the exciter's fourth NTP server source. The agent will attempt to decode a value written to this element as a valid unicast IP address first. If it fails, it will accept the string as an URL without validation."
"uaxteNTPServerName5",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteDateAndTime.uaxteNTPServerName5",".1.3.6.1.4.1.43768.3.1.1.3.2.4.8","OCTET STRING","read-write","","GATESAIR-UAXTE-MIB","IP Address or URL for the exciter's fifth NTP server source. The agent will attempt to decode a value written to this element as a valid unicast IP address first. If it fails, it will accept the string as an URL without validation."
"uaxteInput",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteInput",".1.3.6.1.4.1.43768.3.1.1.3.2.5",,,"","GATESAIR-UAXTE-MIB",""
"uaxteInputPowerOn",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteInput.uaxteInputPowerOn",".1.3.6.1.4.1.43768.3.1.1.3.2.5.1","INTEGER","read-write","","GATESAIR-UAXTE-MIB","Upon bootup the selected input will be applied to the modulator. current =what the modulator was set to prior to AC power loss"
"uaxteInputActive",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteInput.uaxteInputActive",".1.3.6.1.4.1.43768.3.1.1.3.2.5.2","INTEGER","read-write","","GATESAIR-UAXTE-MIB","Active input of the transmitter"
"uaxteInputStatusPrimary",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteInput.uaxteInputStatusPrimary",".1.3.6.1.4.1.43768.3.1.1.3.2.5.3","INTEGER","read-only","","GATESAIR-UAXTE-MIB","Status of the primary input of the transmitter"
"uaxteInputStatusSecondary",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteInput.uaxteInputStatusSecondary",".1.3.6.1.4.1.43768.3.1.1.3.2.5.4","INTEGER","read-only","","GATESAIR-UAXTE-MIB","Status of the secondary input of the transmitter."
"uaxteInputMuteOnTsLoss",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteInput.uaxteInputMuteOnTsLoss",".1.3.6.1.4.1.43768.3.1.1.3.2.5.5","YesNo","read-write","","GATESAIR-UAXTE-MIB","Mute RF when TS stream is lost"
"uaxteInputSwitchMode",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteInput.uaxteInputSwitchMode",".1.3.6.1.4.1.43768.3.1.1.3.2.5.6","INTEGER","read-write","","GATESAIR-UAXTE-MIB","Input selection mode."
"uaxteInputSwitchTimeout",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteInput.uaxteInputSwitchTimeout",".1.3.6.1.4.1.43768.3.1.1.3.2.5.7","INTEGER32","read-write","","GATESAIR-UAXTE-MIB","The amount of time there can be a failure on a input before the transmitter switches to the other input when uaxteInputSwitchMode ='auto'."
"uaxteInputSwitchElapsedTime",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteInput.uaxteInputSwitchElapsedTime",".1.3.6.1.4.1.43768.3.1.1.3.2.5.8","INTEGER32","read-only","","GATESAIR-UAXTE-MIB","the amount of time currently waiting before the transmitter switches to the available be input"
"uaxteInputSwitchCountMax",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteInput.uaxteInputSwitchCountMax",".1.3.6.1.4.1.43768.3.1.1.3.2.5.9","INTEGER32","read-write","","GATESAIR-UAXTE-MIB","The maximum allowable number of automatic switchovers."
"uaxteInputSwitchCountCurrent",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteInput.uaxteInputSwitchCountCurrent",".1.3.6.1.4.1.43768.3.1.1.3.2.5.10","INTEGER32","read-only","","GATESAIR-UAXTE-MIB","The current number of times the switchover has occured."
"uaxteInputSwitchCountReset",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxteInput.uaxteInputSwitchCountReset",".1.3.6.1.4.1.43768.3.1.1.3.2.5.11","INTEGER32","read-write","","GATESAIR-UAXTE-MIB","Command to reset the current count so automatic switchovers can occur again. there is no status of this OID. 1 =execute reset of count."
"uaxtePwrAmps",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxtePwrAmps",".1.3.6.1.4.1.43768.3.1.1.3.2.6",,,"","GATESAIR-UAXTE-MIB",""
"uaxtePaSystem",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxtePwrAmps.uaxtePaSystem",".1.3.6.1.4.1.43768.3.1.1.3.2.6.1",,,"","GATESAIR-UAXTE-MIB",""
"uaxtePaSystemFaults",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteObjects.uaxtePwrAmps.uaxtePaSystem.uaxtePaSystemFaults",".1.3.6.1.4.1.43768.3.1.1.3.2.6.1.1",,,"","GATESAIR-UAXTE-MIB",""
